epoch,train_loss,val_loss,lr,logit_scale,epoch_time_sec,is_best
1,7.264227,6.708132,3.13e-07,85.2298,4902.5,True
2,6.024707,5.355497,6.25e-07,85.2211,5179.7,True
3,5.043387,4.717641,9.38e-07,85.2109,5143.1,True
4,4.550568,4.365886,1.25e-06,85.2018,3949.9,True
5,4.302904,4.189939,1.56e-06,85.1945,4654.6,True
6,4.180281,4.103907,1.88e-06,85.1892,3574.0,True
7,4.113320,4.045447,2.19e-06,85.1850,3561.8,True
8,4.068176,3.997267,2.50e-06,85.1818,4126.3,True
9,4.019687,3.965894,2.50e-06,85.1794,4556.5,True
10,3.985145,3.940528,2.50e-06,85.1779,3487.7,True
11,3.959012,3.919438,2.50e-06,85.1766,3369.2,True
12,3.936879,3.901217,2.50e-06,85.1756,3661.2,True
13,3.915649,3.883256,2.49e-06,85.1747,3574.4,True
14,3.892273,3.868210,2.49e-06,85.1736,3338.8,True
15,3.868755,3.855391,2.49e-06,85.1726,3314.2,True
16,3.843895,3.841492,2.48e-06,85.1719,3390.4,True
17,3.822216,3.827642,2.48e-06,85.1713,3359.6,True
18,3.795606,3.815515,2.47e-06,85.1709,3327.4,True
19,3.759104,3.805379,2.47e-06,85.1708,3379.1,True
20,3.754898,3.794529,2.46e-06,85.1706,3333.9,True
21,3.721061,3.783760,2.46e-06,85.1702,3347.1,True
22,3.687231,3.778079,2.45e-06,85.1703,3447.8,True
23,3.675080,3.769035,2.44e-06,85.1704,4483.2,True
24,3.635294,3.756672,2.43e-06,85.1705,5384.0,True
25,3.615817,3.756233,2.42e-06,85.1708,5102.4,True
26,3.596117,3.741852,2.41e-06,85.1708,3912.7,True
27,3.554256,3.739409,2.40e-06,85.1717,4778.9,True
28,3.523931,3.737383,2.39e-06,85.1724,4764.5,True
29,3.486456,3.736250,2.38e-06,85.1735,4030.1,True
30,3.455764,3.734475,2.37e-06,85.1741,3976.0,True
31,3.424230,3.737628,2.36e-06,85.1746,3666.5,False
32,3.394045,3.730097,2.35e-06,85.1752,4431.0,True
33,3.352125,3.737637,2.34e-06,85.1760,4705.2,False
34,3.322575,3.720073,2.32e-06,85.1763,4331.9,True
35,3.270385,3.735885,2.31e-06,85.1771,4119.1,False
36,3.242234,3.748774,2.30e-06,85.1781,3789.5,False
37,3.206723,3.741030,2.28e-06,85.1782,3748.4,False
38,3.156587,3.745458,2.27e-06,85.1784,3828.3,False
39,3.118956,3.747375,2.25e-06,85.1791,3765.8,False
